# Source: Arcturus5404/miniature-paints (MIT, 2022 Rick Fleuren)
# https://github.com/Arcturus5404/miniature-paints
# Normalized via scripts/build_paint_db.py.
# Hex values are community-derived from vendor swatches; spot-check
# before trusting individual rows. Edit this file directly to correct.
# category=solid is the only category included in the optimizer.
name,brand,line,sku,hex,category,notes
Archangel Red,army_painter,army_painter_air,null,#C52822,solid,
Azure Magic,army_painter,army_painter_air,null,#153F51,solid,
Barren Yellow,army_painter,army_painter_air,null,#845B25,solid,
Bleached Bone,army_painter,army_painter_air,null,#DFD9B7,solid,
Blue Flux,army_painter,army_painter_air,null,#008BBD,solid,
Bogey Green,army_painter,army_painter_air,null,#A1BD67,solid,
Brethil Flesh,army_painter,army_painter_air,null,#C4915A,solid,
Broodmother Purple,army_painter,army_painter_air,null,#26233B,solid,
Bullwhack Brown,army_painter,army_painter_air,null,#8A6243,solid,
Cadre Grey,army_painter,army_painter_air,null,#8E9999,solid,
Canopy Green,army_painter,army_painter_air,null,#ABBE55,solid,
Charred Bone,army_painter,army_painter_air,null,#8C7757,solid,
Chimera Red,army_painter,army_painter_air,null,#621723,solid,
Consul Blue,army_painter,army_painter_air,null,#526899,solid,
Cosmic Dust,army_painter,army_painter_air,null,#EEE47D,solid,
Coven Purple,army_painter,army_painter_air,null,#7B5A85,solid,
Crow Hue,army_painter,army_painter_air,null,#424B47,solid,
Cypress Brown,army_painter,army_painter_air,null,#544537,solid,
Drab Green,army_painter,army_painter_air,null,#7F815C,solid,
Elven Armor,army_painter,army_painter_air,null,#1B3061,solid,
Encarmine Red,army_painter,army_painter_air,null,#721824,solid,
Exile Green,army_painter,army_painter_air,null,#4C685B,solid,
Fairy Dust,army_painter,army_painter_air,null,#8C8C8C,solid,
Fairy Pink,army_painter,army_painter_air,null,#81375F,solid,
Feral Green,army_painter,army_painter_air,null,#5D8758,solid,
Fey Pink,army_painter,army_painter_air,null,#C384A6,solid,
Feywild Glow,army_painter,army_painter_air,null,#F2CC9E,exclude,
Gauss Green,army_painter,army_painter_air,null,#63A33C,solid,
Gemstone,army_painter,army_painter_air,null,#69191F,solid,
Glitter Green,army_painter,army_painter_air,null,#2E5A2F,solid,
Gnome Cheeks,army_painter,army_painter_air,null,#978376,solid,
Gremlin Green,army_painter,army_painter_air,null,#4A5A2B,solid,
Hazardous Smog,army_painter,army_painter_air,null,#60AB97,solid,
Hobgoblin Hue,army_painter,army_painter_air,null,#F3DBC0,solid,
Hot Pink,army_painter,army_painter_air,null,#CB4485,solid,
Husk Brown,army_painter,army_painter_air,null,#562F22,solid,
Imp Yellow,army_painter,army_painter_air,null,#E3BE6A,solid,
Incursion Orange,army_painter,army_painter_air,null,#D7752A,solid,
Ionic Blue,army_painter,army_painter_air,null,#3992C5,solid,
Iron Wolf,army_painter,army_painter_air,null,#354B57,solid,
Leviathan Light,army_painter,army_painter_air,null,#B5D2BA,solid,
Magnolia Brown,army_painter,army_painter_air,null,#2C2C24,solid,
Majestic Fortress,army_painter,army_painter_air,null,#006856,solid,
Meteor Rock,army_painter,army_painter_air,null,#D7AF2B,solid,
Militia Green,army_painter,army_painter_air,null,#273124,solid,
Molten Orange,army_painter,army_painter_air,null,#7D3222,solid,
Neon Yellow,army_painter,army_painter_air,null,#FEDE40,solid,
Night Scales,army_painter,army_painter_air,null,#232023,solid,
Nomad Flesh,army_painter,army_painter_air,null,#B3614B,solid,
Ocean Depths,army_painter,army_painter_air,null,#054C5B,solid,
Omega Blue,army_painter,army_painter_air,null,#1F3863,solid,
Orange Magma,army_painter,army_painter_air,null,#C52822,solid,
Pestilent Flesh,army_painter,army_painter_air,null,#70733B,solid,
Phantasmal Blue,army_painter,army_painter_air,null,#5CADB3,solid,
Potion Green,army_painter,army_painter_air,null,#618A72,solid,
Psychic Shock,army_painter,army_painter_air,null,#5DA490,solid,
Raven Black,army_painter,army_painter_air,null,#2B3030,solid,
Rawhide Brown,army_painter,army_painter_air,null,#4F3826,solid,
Rebel Red,army_painter,army_painter_air,null,#741434,solid,
Regiment Grey,army_painter,army_painter_air,null,#424B4A,solid,
Royal Purple,army_painter,army_painter_air,null,#43173B,solid,
Ruinous Spell,army_painter,army_painter_air,null,#375242,solid,
Safety Orange,army_painter,army_painter_air,null,#DE8F58,solid,
Sapphire Gem,army_painter,army_painter_air,null,#1C477E,solid,
Savage Green,army_painter,army_painter_air,null,#164F2C,solid,
Shark White,army_painter,army_painter_air,null,#959F9C,solid,
Storm Wolf,army_painter,army_painter_air,null,#9DAED2,solid,
Talisman Purple,army_painter,army_painter_air,null,#CE859C,solid,
Thunder Storm,army_painter,army_painter_air,null,#1E2931,solid,
Traitor Red,army_painter,army_painter_air,null,#34251F,solid,
Twilight Sky,army_painter,army_painter_air,null,#1B455F,solid,
Undergrowth Green,army_painter,army_painter_air,null,#507D35,solid,
Unforgiven Green,army_painter,army_painter_air,null,#242923,solid,
Violet Volt,army_painter,army_painter_air,null,#764287,solid,
Viper Brown,army_painter,army_painter_air,null,#9B5F4C,solid,
Wildling Flesh,army_painter,army_painter_air,null,#DE937B,solid,
Witchbane Plum,army_painter,army_painter_air,null,#601841,solid,
Wyrmling Red,army_painter,army_painter_air,null,#B43646,solid,
Yellow Dune,army_painter,army_painter_air,null,#C2994D,solid,
Yeti White,army_painter,army_painter_air,null,#B7BABF,solid,
Zephyr Pink,army_painter,army_painter_air,null,#6B304D,solid,
Zombie Flesh,army_painter,army_painter_air,null,#AFB395,solid,
Abyssal Black,army_painter,army_painter_dnd,null,#21201D,solid,
Ancient Mummy,army_painter,army_painter_dnd,null,#FDEAA9,solid,
Angelic Yellow,army_painter,army_painter_dnd,null,#F9DF1C,solid,
Beholder Purple,army_painter,army_painter_dnd,null,#A893B3,solid,
Bleached Skull,army_painter,army_painter_dnd,null,#F5F4F0,solid,
Bugbear Brown,army_painter,army_painter_dnd,null,#7B561E,solid,
Cambion Crimson,army_painter,army_painter_dnd,null,#9C1A1D,solid,
Cold Flesh,army_painter,army_painter_dnd,null,#E7F0F9,solid,
Cursed Blade,army_painter,army_painter_dnd,null,#7B482A,solid,
Dragonfire Red,army_painter,army_painter_dnd,null,#CF2529,solid,
Drakolich Scales,army_painter,army_painter_dnd,null,#6D7FA3,solid,
Duergar Metal,army_painter,army_painter_dnd,null,#582121,metallic,
Dungeon Stone,army_painter,army_painter_dnd,null,#666D74,solid,
Dwarven Bronze,army_painter,army_painter_dnd,null,#CD601F,metallic,
Eternal Blue,army_painter,army_painter_dnd,null,#5A7F93,solid,
Ethereal Specter,army_painter,army_painter_dnd,null,#C1AFBB,solid,
Faerzress Purple,army_painter,army_painter_dnd,null,#87146E,solid,
Fair Skin,army_painter,army_painter_dnd,null,#EACDAD,solid,
Feywild Emerald,army_painter,army_painter_dnd,null,#006E40,solid,
Firenewt Orange,army_painter,army_painter_dnd,null,#F6AA0D,solid,
Flumph Pink,army_painter,army_painter_dnd,null,#E69D63,solid,
Gelatinous Blue,army_painter,army_painter_dnd,null,#C7CFE3,solid,
Ghostly Blue,army_painter,army_painter_dnd,null,#3A9DD5,solid,
Ghostly Vapours,army_painter,army_painter_dnd,null,#A5C5C0,solid,
Ghoul Grey,army_painter,army_painter_dnd,null,#B9BEC4,solid,
Goblin Skin,army_painter,army_painter_dnd,WP1720,#E0B26A,solid,
Green Flame,army_painter,army_painter_dnd,null,#81AC36,solid,
Grung Green,army_painter,army_painter_dnd,WP1731,#9DC29E,solid,
Ki-Rin Gold,army_painter,army_painter_dnd,null,#AF8102,metallic,
Kobold Red,army_painter,army_painter_dnd,null,#6D1F0C,solid,
Kraken Blue,army_painter,army_painter_dnd,null,#055E8F,solid,
Lawfull White,army_painter,army_painter_dnd,null,#FEFFFF,solid,
Lich Blue,army_painter,army_painter_dnd,null,#094073,solid,
Lich Skin,army_painter,army_painter_dnd,null,#83827B,solid,
Merfolk Turquoise,army_painter,army_painter_dnd,null,#019096,solid,
Minotaur Hide,army_painter,army_painter_dnd,null,#A34521,solid,
Mithral Silver,army_painter,army_painter_dnd,null,#808182,metallic,
Mouldy Wash,army_painter,army_painter_dnd,null,#41630C,solid,
Orc Skin,army_painter,army_painter_dnd,null,#9FA3A3,solid,
Otyugh Brown,army_painter,army_painter_dnd,null,#DEB57D,solid,
Owlbear Brown,army_painter,army_painter_dnd,null,#5F3D27,solid,
Pixiedust Pink,army_painter,army_painter_dnd,null,#D27F84,solid,
Purple Worm,army_painter,army_painter_dnd,WP1712,#826D8D,solid,
Putrid Slime,army_painter,army_painter_dnd,null,#C4B107,solid,
Rigid Leather,army_painter,army_painter_dnd,null,#521C02,solid,
Rosy Skin,army_painter,army_painter_dnd,null,#F7BF96,solid,
Ruddy Skin,army_painter,army_painter_dnd,null,#BB7962,solid,
Rust Monster,army_painter,army_painter_dnd,null,#E5581E,solid,
Silver Dragon,army_painter,army_painter_dnd,null,#B2B2B3,metallic,
Stirge Tan,army_painter,army_painter_dnd,null,#C47A7B,solid,
Succubus Red,army_painter,army_painter_dnd,null,#AA262F,solid,
Treant Green,army_painter,army_painter_dnd,null,#409B4B,solid,
Troll Skin,army_painter,army_painter_dnd,null,#06381F,solid,
Underdark Grey,army_painter,army_painter_dnd,null,#7F7372,solid,
Underdark Indigo,army_painter,army_painter_dnd,null,#205286,solid,
Vampire Garments,army_painter,army_painter_dnd,null,#A12F24,solid,
Wraith Black,army_painter,army_painter_dnd,null,#3C3F50,solid,
Xanathar Blue,army_painter,army_painter_dnd,null,#2EB5B0,solid,
Grey Primer,army_painter,army_painter_dnd_primer,null,#919296,exclude,
Brown Wash,army_painter,army_painter_dnd_wash,null,#352A16,wash,
Shadow Wash,army_painter,army_painter_dnd_wash,null,#000103,wash,
Abyssal Blue,army_painter,army_painter_fanatic,null,#00506C,solid,
Aegis Aqua,army_painter,army_painter_fanatic,null,#32B3D5,solid,
Afterglow,army_painter,army_painter_fanatic,null,#E4EA8D,exclude,
Agate Skin,army_painter,army_painter_fanatic,null,#D7877B,solid,
Alien Purple,army_painter,army_painter_fanatic,null,#6154A3,solid,
Alpha Blue,army_painter,army_painter_fanatic,null,#667DC0,solid,
Amber Skin,army_painter,army_painter_fanatic,null,#C4A083,solid,
Amulet Aqua,army_painter,army_painter_fanatic,null,#68C5B6,solid,
Ancient Stone,army_painter,army_painter_fanatic,null,#D0C3A3,solid,
Angel Green,army_painter,army_painter_fanatic,null,#173E31,solid,
Angelic Red,army_painter,army_painter_fanatic,null,#D42C39,solid,
Aqua Alchemy,army_painter,army_painter_fanatic,null,#24BBA6,solid,
Aquamarine,army_painter,army_painter_fanatic,null,#56C4CD,solid,
Arctic Gem,army_painter,army_painter_fanatic,null,#1995D4,solid,
Army Green,army_painter,army_painter_fanatic,null,#5D7554,solid,
Ash Grey,army_painter,army_painter_fanatic,null,#84878F,solid,
Augur Blue,army_painter,army_painter_fanatic,null,#ACBCE2,solid,
Autumn Sage,army_painter,army_painter_fanatic,null,#75AD98,solid,
Barbarian Flesh,army_painter,army_painter_fanatic,null,#F69B7F,solid,
Baron Blue,army_painter,army_painter_fanatic,null,#7C95CC,solid,
Barren Dune,army_painter,army_painter_fanatic,null,#DEBB72,solid,
Basilisk Red,army_painter,army_painter_fanatic,null,#6C2539,solid,
Blood Chalice,army_painter,army_painter_fanatic,null,#DB4B50,solid,
Boney Spikes,army_painter,army_painter_fanatic,null,#E6D4C1,solid,
Bootstrap Brown,army_painter,army_painter_fanatic,null,#5D4D4D,solid,
Brainmatter Beige,army_painter,army_painter_fanatic,null,#DEDBD3,solid,
Brigade Grey,army_painter,army_painter_fanatic,null,#D0D0D2,solid,
Brigadine Brown,army_painter,army_painter_fanatic,null,#443A40,solid,
Bright Gold,army_painter,army_painter_fanatic,null,#987B1A,metallic,
Bright Sapphire,army_painter,army_painter_fanatic,null,#84CEF0,solid,
Buffed Hide,army_painter,army_painter_fanatic,null,#B3756A,solid,
Burning Ore,army_painter,army_painter_fanatic,null,#F2653E,solid,
Burnt Turf,army_painter,army_painter_fanatic,null,#BE9859,solid,
Camouflage Green,army_painter,army_painter_fanatic,null,#6E8358,solid,
Carnelian Skin,army_painter,army_painter_fanatic,null,#5D3E46,solid,
Cobalt Metal,army_painter,army_painter_fanatic,null,#2E4249,metallic,
Command Khaki,army_painter,army_painter_fanatic,null,#B49488,solid,
Company Grey,army_painter,army_painter_fanatic,null,#BCBEC2,solid,
Crystal Blue,army_painter,army_painter_fanatic,null,#0273BC,solid,
Cultist Purple,army_painter,army_painter_fanatic,null,#6962AB,solid,
Daemonic Yellow,army_painter,army_painter_fanatic,null,#FECE2A,solid,
Dark Emerald,army_painter,army_painter_fanatic,null,#3B4A25,solid,
Death Metal,army_painter,army_painter_fanatic,null,#2B2B2B,metallic,
Deep Azure,army_painter,army_painter_fanatic,null,#006B79,solid,
Deep Grey,army_painter,army_painter_fanatic,null,#4B5164,solid,
Deep Ocean Blue,army_painter,army_painter_fanatic,null,#1B3044,solid,
Demigod Flames,army_painter,army_painter_fanatic,null,#D17B41,solid,
Desert Yellow,army_painter,army_painter_fanatic,null,#856D45,solid,
Diabolic Plum,army_painter,army_painter_fanatic,null,#562D74,solid,
Diviner Light,army_painter,army_painter_fanatic,null,#D59FC5,solid,
Doomfire Drab,army_painter,army_painter_fanatic,null,#F9D9E6,solid,
Dorado Skin,army_painter,army_painter_fanatic,null,#EEC79E,solid,
Dragon Red,army_painter,army_painter_fanatic,null,#BF283B,solid,
Dryad Brown,army_painter,army_painter_fanatic,null,#613630,solid,
Dusty Skull,army_painter,army_painter_fanatic,null,#8B7C68,solid,
Elder Flower,army_painter,army_painter_fanatic,null,#A8577B,solid,
Electric Lime,army_painter,army_painter_fanatic,null,#BDD532,solid,
Emerald Forest,army_painter,army_painter_fanatic,null,#5BBB4D,solid,
Enchanted Pink,army_painter,army_painter_fanatic,null,#B66CAE,solid,
Eternal Hunt,army_painter,army_painter_fanatic,null,#279A4C,solid,
Evergreen Fog,army_painter,army_painter_fanatic,null,#396360,solid,
Evil Chrome,army_painter,army_painter_fanatic,null,#5B3B2F,metallic,
